"seed","ari","nmi","n_vertices","n_communities"
303,0.0252062414068196,0.0345322521215396,151,14
304,0.0324957796277196,0.0416139270642526,159,13
305,0.0289002418532612,0.0343786026638372,158,14
306,0.0270555792449693,0.0481706962314203,150,12
307,0.0291278305613712,0.0371019224394486,159,13
308,0.0348403605598494,0.0569981461817481,156,13
309,0.0175435163793418,0.0426896622515365,161,15
310,0.0315593631076148,0.0481424592170245,160,13
311,0.0202364436129142,0.0353718247981143,161,14
312,0.0479076192342773,0.0571088316752305,152,13
313,0.0285241683459901,0.0410079977186557,150,12
314,0.0390235548523718,0.0592043916131004,159,13
315,0.0208431796677543,0.0300740123837596,156,13
316,0.0398571514855846,0.0539994573019133,154,13
317,0.024691760593176,0.0328924508425936,161,13
318,0.0424464615981006,0.0590537360121784,155,14
319,0.0171032059036906,0.033200905028248,156,12
320,0.0357089074190121,0.0442487041971257,164,13
321,0.0302925302889044,0.0403799019193249,157,13
322,0.0222607556982811,0.0394243817945946,161,13
323,0.0189810903156997,0.039538696231514,154,13
324,0.0189901300381666,0.0370604250141595,155,16
325,0.0172265568688126,0.0437158604541205,156,13
326,0.0318496378142473,0.0508105166799316,162,14
327,0.0366154268171018,0.0487989317624295,147,14
328,0.0135439495558775,0.02828392330721,147,13
329,0.0202602213439147,0.0358748483920506,155,13
330,0.0359465212800926,0.0540259604348111,158,13
331,0.0108200960878897,0.0245261046922767,162,13
332,0.0174302882354092,0.0296527792456732,149,13
333,0.0362805539987755,0.0483578590728941,153,13
334,0.0153874232347634,0.0277269100669412,160,12
335,0.0334193419564291,0.0426458791355733,150,13
336,0.0473430401949635,0.0547813897454191,160,14
337,0.0528928184257406,0.0661305156381324,158,13
338,0.0380664253087727,0.0469276026606137,152,12
339,0.0159356145149038,0.0382756621201795,154,14
340,0.0210599975972125,0.0374329437933555,152,14
341,0.0226563733290434,0.0342347459457308,152,13
342,0.038988459504927,0.0476061493659219,159,13
343,0.0198340899008441,0.0267135168702231,164,13
344,0.0258503509235773,0.0431906701873239,151,13
345,0.0323177100392475,0.0537213725248086,153,12
346,0.0203378824259435,0.0318485568435104,158,14
347,0.0337855082217665,0.0409016731771327,158,13
348,0.0276742075954414,0.0381471174388844,154,14
349,0.0391825688378727,0.0552308543496506,159,12
350,0.0137885805490043,0.030979259398033,146,13
351,0.0239931929127991,0.04600079907479,152,13
352,0.0280545965536096,0.0448945089227374,164,14
353,0.0284247794533393,0.0392617857299941,162,13
354,0.0215948803758957,0.0405371399595571,160,14
355,0.041325901419984,0.0602287337289941,160,13
356,0.0183671802137818,0.0308168393510299,150,14
357,0.0354473304015617,0.0526040768074854,152,13
358,0.0303225274754225,0.0416363505521111,154,14
359,0.0199827921275884,0.033816360853026,159,13
360,0.0239327226937915,0.0420188887208319,163,13
361,0.0269988497405421,0.0358502054638568,153,13
362,0.0140327754339027,0.0369442812535062,160,13
363,0.0341271470548624,0.0586267885850479,159,13
364,0.0228324474220514,0.032740195427832,162,13
365,0.0334580065845274,0.047102930776331,158,13
366,0.0261079632754375,0.0326928282027964,161,12
367,0.0259791776729281,0.0489077109361818,165,16
368,0.0303403952052146,0.038091821136249,157,12
369,0.0177482529894673,0.033350272984566,162,14
370,0.0243661156863258,0.0338482603303012,158,14
371,0.0249310801158283,0.0429856870893163,156,13
372,0.020184851464828,0.0271943413140618,157,13
373,0.0295608884340975,0.0549425252356331,153,12
374,0.0449563581186633,0.0561068170172089,154,14
375,0.0300344510804991,0.0462329320078844,156,12
376,0.0203574472055042,0.040220248574645,153,13
377,0.0387823894203666,0.047013939151002,151,13
378,0.0243729488324591,0.0460471643897481,162,13
379,0.0302091475160758,0.0542116846725319,150,13
380,0.0291613727292406,0.0399403903784886,161,13
381,0.0265779433438859,0.0360750624139189,143,12
382,0.0104127455926508,0.0382128305768736,155,13
383,0.0242989448712751,0.0351041665346082,158,12
384,0.0301360304212463,0.0388630498480848,151,15
385,0.0113680805009413,0.0353477391038951,155,13
386,0.035879390919857,0.0554919328114795,161,12
387,0.0154982690584369,0.0385543791411684,150,13
388,0.0130032570134513,0.0327696443168197,152,14
389,0.0336681909954056,0.039692816110321,156,15
390,0.0232938716335461,0.0416745219544579,161,13
391,0.0280065691835667,0.0489619429824286,160,13
392,0.0288682178338153,0.0411699707540594,152,14
393,0.0275312457431207,0.0397239841922842,158,16
394,0.0358863193298872,0.0491182661915276,150,15
395,0.0197515332191477,0.0393972479750847,149,14
396,0.0371498854038585,0.0446444319557075,159,13
397,0.0123955419628201,0.0272677627838947,154,14
398,0.0252983459027561,0.0323280393286713,161,13
399,0.0347758952696905,0.0389688240106823,156,12
400,0.024845331680659,0.0441970878800354,159,12
401,0.0381249438643311,0.0433908340427955,154,13
402,0.0145603149284835,0.0361080495739146,154,14
403,0.023070944048798,0.0436526160327715,155,13
404,0.0224942931258977,0.0410282414766303,147,13
405,0.0331017830478225,0.0475568107297002,161,13
