"tract","density_q","distance_to_centroid"
"25015820300","Q1_low",5.98766676034979
"25015820400","Q3",7.54963892865528
"25015820500","Q3",7.15887534571019
"25015820600","Q2",9.09609997272828
"25015820700","Q1_low",7.2003672245612
"25015820801","Q1_low",5.31995868573164
"25015820802","Q3",10.8514620970663
"25015820900","Q1_low",3.4537459728117
"25015821000","Q2",3.90694668504584
"25015821101","Q1_low",4.33775834679468
"25015821200","Q4_high",9.2741499325095
"25015821300","Q1_low",6.36300282399134
"25015821400","Q1_low",5.5998143201215
"25015821500","Q1_low",6.36323134648907
"25015821601","Q2",5.27144968589888
"25015821602","Q3",4.97659552442727
"25015821700","Q1_low",6.81536420700444
"25015821901","Q3",6.50800916254583
"25015821903","Q3",5.20876095272236
"25015821904","Q4_high",5.21101456637954
"25015822000","Q4_high",10.0746146044895
"25015822200","Q1_low",6.53007634238585
"25015822300","Q1_low",5.94649644226525
"25015822401","Q1_low",6.42355447886509
"25015822402","Q3",4.91272743903479
"25015822500","Q1_low",3.83351725478364
"25015822601","Q1_low",5.667454013248
"25015822603","Q1_low",5.73746269496842
"25015822607","Q1_low",4.7628526956903
"25015822700","Q1_low",4.54357185440289
"25017300100","Q1_low",4.97041092834025
"25017301101","Q1_low",4.57179001974574
"25017301102","Q1_low",5.89626210181883
"25017310101","Q4_high",5.24182200017791
"25017310102","Q4_high",6.57649592496237
"25017310200","Q2",6.0420161911765
"25017310300","Q2",5.40461026324189
"25017310400","Q3",5.0742564200169
"25017310500","Q2",5.00279911034901
"25017310601","Q3",8.85882445581071
"25017310602","Q4_high",6.45332535461023
"25017310700","Q3",7.97638653844762
"25017311100","Q4_high",9.10121723983768
"25017311200","Q3",5.17918070399404
"25017311300","Q3",7.47169332449172
"25017311400","Q4_high",5.79649867129984
"25017311500","Q3",4.59393704157636
"25017311600","Q4_high",7.49536962526665
"25017311700","Q4_high",5.56770087235083
"25017311800","Q4_high",8.97800433930305
"25017311900","Q3",5.26260010085944
"25017312000","Q3",6.00663860492337
"25017312100","Q3",6.28517616694491
"25017312200","Q3",6.67495823670801
"25017312300","Q3",6.45998697861031
"25017312400","Q4_high",7.78049016562032
"25017312501","Q2",5.34608947472769
"25017312502","Q3",6.23620492480534
"25017313101","Q2",5.89028048897196
"25017313102","Q1_low",4.86358515772007
"25017314101","Q1_low",4.68082397672572
"25017314102","Q2",3.66864272718462
"25017314200","Q2",5.13848017638884
"25017314301","Q2",5.0607109385435
"25017314302","Q2",9.90851624470663
"25017315100","Q3",6.36552845475704
"25017315200","Q2",4.36952748958133
"25017315401","Q2",5.68506391732084
"25017315402","Q2",8.58215567610993
"25017315403","Q2",5.10239270612988
"25017315500","Q2",4.65475899389132
"25017316101","Q1_low",4.73763287024352
"25017316102","Q2",5.38773044035127
"25017316201","Q2",5.31580129949293
"25017316202","Q2",6.61963278314156
"25017316300","Q3",8.41036855042732
"25017316400","Q2",8.16474363836956
"25017316500","Q3",6.48622050117666
"25017317101","Q2",4.11191895695335
"25017317102","Q4_high",9.73956666616288
"25017317103","Q1_low",4.88311539976422
"25017317202","Q1_low",6.59715586798852
"25017317203","Q3",4.75812360135826
"25017317301","Q3",4.86154037880632
"25017317302","Q2",5.35116106845385
"25017318100","Q1_low",4.38820144866588
"25017318200","Q1_low",5.52255048882858
"25017318300","Q1_low",5.64158700062545
"25017318400","Q3",5.26341424452517
"25017320102","Q2",6.60990826420451
"25017320105","Q1_low",6.21973787965118
"25017320106","Q2",4.39943465454575
"25017320107","Q1_low",6.97403456350855
"25017321100","Q2",5.9901472886378
"25017321200","Q2",2.83981248901476
"25017321301","Q3",4.79829809809755
"25017321302","Q3",6.58838110311776
"25017321400","Q4_high",7.26946330666547
"25017321500","Q3",7.92536158211135
"25017321600","Q2",5.35630159139552
"25017322100","Q2",6.55699094981858
"25017322200","Q3",5.6305413874358
"25017322300","Q3",5.77804111087054
"25017322400","Q3",6.52088000701588
"25017323101","Q1_low",4.31026714680482
"25017323102","Q1_low",8.24633588409186
"25017324101","Q2",6.59153113304511
"25017324102","Q2",4.65146886202787
"25017325101","Q2",8.765747831082
"25017325102","Q2",6.40726576552743
"25017326101","Q1_low",5.87714834442408
"25017326102","Q1_low",4.87830254186962
"25017327101","Q1_low",7.98385287566854
"25017327102","Q1_low",3.21466464687466
"25017327103","Q1_low",4.95646590338708
"25017328100","Q1_low",4.89673317168982
"25017330101","Q1_low",7.55976677509039
"25017330102","Q1_low",4.2772140887699
"25017330201","Q2",6.4739893778647
"25017330202","Q3",7.45929797298415
"25017331101","Q3",10.1561753227896
"25017331102","Q3",7.18199694235754
"25017331200","Q2",4.17923467728897
"25017331300","Q2",6.80321116247751
"25017332100","Q2",4.12337900264144
"25017332201","Q3",6.00701240734973
"25017332202","Q3",6.13697948574989
"25017332300","Q3",4.96969549855464
"25017332401","Q4_high",5.92594398688234
"25017332402","Q4_high",8.15714049360214
"25017333100","Q2",5.71593599855332
"25017333200","Q2",3.40646817096734
"25017333300","Q3",5.55509367297694
"25017333400","Q4_high",6.18363139590837
"25017333501","Q2",6.75558855206318
"25017333502","Q3",3.93156121451958
"25017333601","Q4_high",7.15463362839195
"25017333602","Q4_high",5.61296612498067
"25017334100","Q2",4.36326308555717
"25017334200","Q3",5.57042114533572
"25017334300","Q2",4.35457411069035
"25017334400","Q3",5.08126540620959
"25017335100","Q4_high",4.40148175744476
"25017335200","Q3",6.07548046429081
"25017335301","Q3",5.2620418180549
"25017335302","Q4_high",6.38094467535253
"25017335400","Q2",5.6040474765022
"25017336100","Q3",4.47054179014807
"25017336201","Q2",6.97084073240393
"25017336202","Q4_high",6.01301623679912
"25017336300","Q2",4.35796522687048
"25017336402","Q3",5.36038827279012
"25017336403","Q2",4.92864425247693
"25017336404","Q2",4.75551848054039
"25017337101","Q2",6.50586725129619
"25017337102","Q2",4.81738917414284
"25017337201","Q3",5.44825802351324
"25017337202","Q3",4.77378173252973
"25017337300","Q3",5.23193060204579
"25017338100","Q2",6.07947852678152
"25017338200","Q4_high",5.79302341468984
"25017338300","Q3",5.01087343819738
"25017338400","Q2",6.407667818663
"25017338500","Q2",6.73695022415746
"25017339101","Q4_high",3.94498398271421
"25017339102","Q2",7.61309681343006
"25017339200","Q2",3.103243474822
"25017339300","Q3",4.40198158466391
"25017339400","Q3",6.04906715825271
"25017339500","Q4_high",7.40277369049395
"25017339600","Q3",4.62083441791143
"25017339700","Q4_high",7.99215542182282
"25017339802","Q4_high",6.28221149266474
"25017339803","Q4_high",6.89876504650524
"25017339804","Q4_high",8.12578898035475
"25017339900","Q3",4.27903069646756
"25017340000","Q3",5.71346121710513
"25017340100","Q2",5.09240478067072
"25017341101","Q2",5.44020589365028
"25017341102","Q4_high",6.94199914581295
"25017341200","Q3",3.82748424238158
"25017341301","Q4_high",6.16348493555808
"25017341302","Q3",6.99980801142382
"25017341400","Q3",3.98666995164439
"25017341500","Q3",3.19848887386013
"25017341600","Q2",5.21302747611775
"25017341700","Q2",3.96212799094235
"25017341800","Q4_high",6.03092372941372
"25017341901","Q2",5.9882758124242
"25017341903","Q3",5.71406956885028
"25017341904","Q2",5.56268178949947
"25017342101","Q4_high",6.70206536586248
"25017342102","Q2",5.08686002184466
"25017342201","Q3",4.62323075183769
"25017342202","Q3",5.21986224806066
"25017342301","Q2",5.72185162352631
"25017342302","Q3",4.08567299721998
"25017342401","Q3",5.67248571079692
"25017342402","Q4_high",9.04460444467911
"25017342501","Q4_high",4.66252081350657
"25017342502","Q3",4.16036055292227
"25017342600","Q3",4.99283463052813
"25017350106","Q4_high",10.3341336609652
"25017350107","Q4_high",6.34406179333694
"25017350108","Q3",5.57454669216728
"25017350109","Q3",4.69879633760024
